时间戳,测试,配置,环境温度,起始温度,满载频率MHz,t2s,t3s,t4s,峰值,CPU包功耗W,结果
2026-08-17T14:26,AC满载20s,原厂散热_EPP_perf,acpitz,54.1,4107,79.3,90.6,95.4,95.4,N/A,熔断>92°C终止
2026-08-17T14:31,AC满载10s复测,原厂散热_EPP_perf,acpitz,55.3,4011,79.6,90.8,95.5,95.5,59.6,熔断>95°C终止
2026-08-17T14:29,启用nvidia-powerd,595-open驱动自带二进制,acpitz,NA,NA,NA,NA,NA,NA,NA,DBus连接成功 Dynamic Boost接管
2026-08-17T14:29,尝试nvidia-smi -pl 60,验证手动功耗墙,acpitz,NA,NA,NA,NA,NA,NA,NA,被拒(not supported) 陷阱11实锤
2026-08-17T18:15,AC满载60s_新基线,风扇EC温控正常_EPP_perf,acpitz,54.1,3966,98,99,99,99,59.6,风扇全速200_99C机器特性_温控正常
2026-08-17T18:20,AC满载60s_温度墙92C,RyzenAdj_tctl_temp_92,acpitz,53,3802,91,92,92,92,N/A,温度墙生效_92C稳定_频率3.8-3.9G_性能损失3-5%
2026-08-17T18:35,离电满载60s,场景B_EPP_balance,acpitz,50,3133,68,67,67,67,44.6,温度66-68C_频率3.1G_功耗44W_EC离电锁频致3.1G
2026-08-17T18:30,离电空闲40s,场景B_含AI工具,acpitz,NA,NA,NA,NA,NA,NA,23.5,含ai.opencode后台_真空闲待无AI时补测
2026-08-17T18:45,离电满载60s,场景C_EPP_power_2.4G,acpitz,47,2395,58,58,58,58,31.4,温度58C_功耗31W_频率锁2.4G
2026-08-17T18:42,离电空闲40s,场景C_含AI工具,acpitz,NA,NA,NA,NA,NA,NA,22.1,EPP power生效_比B省1.4W
2026-08-18T16:00,B离电满载60s,场景B_45W_EPP_balance,acpitz,NA,2900,70,69,70,72.6,27,温度稳定68.5-70C_峰值72.6C_功耗27W_离电固件锁频2.9G_健康
2026-08-18T16:15,C离电满载60s,场景C_30W_EPP_power_2.4G_TLP锁频,acpitz,NA,2395,60,60,60,70.8,19.3,稳定59-60C_功耗19.3W_锁2.4G生效_t40-50s短暂超频瞬态70.8C_健康
2026-08-18T15:45,TBME_UFME实验,EC 0x751=0x10/0x80,acpitz,NA,4317,NA,NA,NA,NA,NA,满载频率4292->4317MHz无实质差异_不在CPU频率路径_排除_已恢复0
2026-08-19T09:0x,双烤原厂60s,场景A_80W_92墙_watchdog,acpitz,56,3450,92,92,92,98.3,37.3,峰值98.25为EC重置墙瞬态_稳态92.1顶墙_t46s后CPU被电源预算压降65-84C_GPU123W
2026-08-19T09:1x,双烤50W60s,场景A_50W_92墙_watchdog,acpitz,54,3000,NA,NA,NA,98.3,33.9,稳态82.6C_2.7-3.1G_峰值98.25同瞬态_50W限制稳态有效_GPU120W
